tweetId	text_label	image_label	multimodal_label
1188061225386741761	N	I	O
1198715112254779392_1	I	N	I
1198715112254779392_3	I	A	I
1198715112254779392_2	I	I	I
1198715112254779392_4	I	I	I
1194323304196251649	O	N	N
1197862553042522113	O	O	O
1206467929845334016	A	O	A
1202115838087577601	A	O	A
650487865328181249	A	I	I
1311956820794257408	O	O	O
1199350947547373568	O	N	O
1312763432584839170	O	N	N
1052826867064074240	A	I	N
1194191338192953344	N	A	N
1187242436336197632	O	O	O
1206839660045045766	O	I	O
1202255446427521024	O	N	N
1052146033516515328	O	I	N
1052583800591462400	O	N	O
651775756335489024	N	I	I
1308718455189889025	N	N	N
1199700261545107459	A	I	A
1197750257288957952	O	O	O
1205842171745701899	O	I	I
1187037485802643456	O	O	O
651679507510886400	N	I	N
1307730809118502912	A	N	N
1186409985644863488	O	O	O
1312437678613229568	N	N	O
1188339765122392064	N	N	N
1198544759029190656	O	O	O
1207180986968088576	O	N	O
1201384990086483968	N	N	N
1312995406880616448	N	O	N
1206374155832250370	O	N	O
1206660813257355264	N	N	N
1306838468614643714	N	N	N
453487843026169856	N	N	N
650824006040424448	O	I	I
1198854986299518983_3	N	A	A
1198854986299518983_1	N	R	R
1198854986299518983_2	N	N	R
1193963878788599808	O	N	O
1052801314478993408	O	N	O
1199040567818280961	R	N	R
1052248802411905030_1	N	N	N
1052248802411905030_3	N	N	N
1052248802411905030_2	N	N	N
649706148090773504	N	N	N
1141990801418985472	O	O	O
1201937077274894336	I	N	I
725584197054791680	O	O	O
1201641839314513920	I	R	A
1187984460844802048	A	I	A
1052211979736244224	O	I	I
1201814492646137857	I	I	N
1307859961045807104	R	N	R
1206236601346658304	O	O	O
1194282032140038144	N	N	N
1199335810174046211_1	N	N	N
1199335810174046211_4	N	N	N
1199335810174046211_3	N	N	N
1199335810174046211_2	N	N	N
1142020712779173888	O	N	O
1313376203110117377	N	I	I
1201761509631766528	N	N	N
1186877617699467264	O	N	O
1142007312959381505	O	O	O
1307795394643070977_2	N	N	N
1307795394643070977_1	N	N	N
725619995070332928	O	N	O
1312718778808049664_2	O	N	O
1312718778808049664_1	O	I	I
1188471993148030976_1	A	O	A
1188471993148030976_2	A	N	A
651551773883269120	N	I	I
1193891665758568453	A	N	A
1188109071204995074_2	O	I	I
1188109071204995074_1	O	I	I
